Date,User,Nedbank_Tweets
2023-01-01 13:52:11+00:00,Nedbank,"@___BonoloS We did experience an outage earlier, which has since been resolved. You may login again and the account should be visible. We sincerely apologise for any inconvenience caused. https://t.co/YmCt2JeH7f"
2023-01-01 13:51:56+00:00,Nedbank,"@___BonoloS @ZAFoodMusketeer We did experience an outage earlier, which has since been resolved. You may login again and the account should be visible. We sincerely apologise for any inconvenience caused. https://t.co/YmCt2JeH7f"
2023-01-01 13:51:27+00:00,___BonoloS,@Nedbank 🤙🏽
2023-01-01 13:51:25+00:00,Nedbank,"@___BonoloS We're glad to hear that, Nolo :) https://t.co/YmCt2JeH7f"
2023-01-01 13:51:02+00:00,Nedbank,@___BonoloS The incident regarding our investment products reflecting on our digital banking channels has been resolved :) Please accept our sincere apologies for the delay. https://t.co/YmCt2JeH7f
2023-01-01 13:50:48+00:00,___BonoloS,"@Nedbank thank you, just checked &amp; all is well :)"
2023-01-01 13:49:34+00:00,Nedbank,"@___BonoloS Hi Nolo, the matter has been resolved and services restored :) https://t.co/YmCt2JeH7f"
2023-01-01 13:49:01+00:00,Nedbank,"@SelbyNhleko Thank you, for keeping us updated. 💚"
2023-01-01 13:47:32+00:00,SelbyNhleko,@Nedbank Thank I got help already.
2023-01-01 13:40:56+00:00,Nedbank,"@SelbyNhleko Hi there, how are you and how may we assist? 🙂"
2023-01-01 13:35:45+00:00,Nedbank,@elna50193290 Hi Elna. We're sorry about the inconvenience caused. We did experience an outage which has since been resolved. You may login and will see your account information displaying on the Money app and online banking :) https://t.co/YmCt2JeH7f
2023-01-01 13:13:23+00:00,SbuXulu_Donda,@Nedbank @Gta44305117 It's now reflecting thanks. Cishe samelwa zinhliziyo 😯
2023-01-01 12:57:58+00:00,Nedbank,"@Gta44305117 Hi Gta. We are extremely sorry for any inconvenience caused to you. 🙏We did encounter a technical problem around our investments this morning. However, the matter has now been resolved. Kindly recheck and confirm if all is in order."
2023-01-01 12:41:16+00:00,Nedbank,@Melaninfrxxk Hi Omphile. We are truly sorry for any inconvenience caused to you. Our teams are aware of the issue and are currently working on a fix. 🙏
2023-01-01 12:35:32+00:00,Nedbank,"@jimmyjinga Hi Rowan, we are truly sorry for any inconvenience caused to you. Our teams are aware of the issue and are currently working on a fix. 🙏"
2023-01-01 12:34:41+00:00,Nedbank,"@ShavingZA Hi there, we are truly saddened to hear that you have left us and would have appreciated a chance to address any issues that you may have experienced. Feel free to DM us, we are here to help."
2023-01-01 11:35:10+00:00,BaasFrank_,Avoid @Nedbank insurance if you're serious about your business. It's more like a scam actually
2023-01-01 11:12:56+00:00,Belinda43367204,@Nedbank Thank you
2023-01-01 11:09:55+00:00,Nedbank,"@Belinda43367204 Hi Belinda, we did incur an outage which has been resolved. Please logout and log back in to view your account :) https://t.co/YmCt2JeH7f"
2023-01-01 09:58:06+00:00,Nedbank,"@Andilentuli5 Hi there, we're sorry about the inconvenience caused. We are currently aware of the matter and have our techies looking into this. We do apologise for the inconvenience caused. Our teams are working on resolving the matter. https://t.co/YmCt2JeH7f"
2023-01-01 09:55:15+00:00,Nedbank,"@tiny1hippo Hi Christopher, we sincerely apologise for the inconvenience caused. Our teams are working to resolve this matter as swiftly as possible. https://t.co/YmCt2JeH7f"
2023-01-01 09:41:21+00:00,BruceHa41382705,"@Nedbank it’s not the fact that there’s a technical glitch with investment accounts not reflecting on the profiles. It’s the fact that you chose to say nothing. Definitely not customer centric.
Hopefully you will advise all customers affected as soon as there is resolution."
2023-01-01 09:36:27+00:00,Nedbank,"@RanzidaTC Hi TenRanz, our teams are working on resolving this incident. https://t.co/YmCt2JeH7f"
2023-01-01 09:35:51+00:00,Nedbank,"@RanzidaTC Hi there, we're sorry about the inconvenience caused. We are currently aware of the matter and have our techies looking into this. We do apologise for the inconvenience caused. Our teams are working on resolving the matter. https://t.co/YmCt2JeH7f"
2023-01-01 09:33:25+00:00,Nedbank,"@gman_70B Hi there, we're sorry about the inconvenience caused. We are currently aware of the matter and have our techies looking into this. We do apologise for the inconvenience caused. Our teams are working on resolving the matter. https://t.co/YmCt2JeH7f"
2023-01-01 09:23:31+00:00,ayanda_nqubuka,@Nedbank I need to find out the status on a loan application please help
2023-01-01 09:22:51+00:00,Nedbank,"@SithaguPhindulo Hi Dr, we're sorry about the inconvenience caused. We are currently aware of the matter and have our techies looking into this. We do apologise for the inconvenience caused. Our teams are working on resolving the matter. https://t.co/YmCt2JeH7f"
2023-01-01 09:19:23+00:00,TMahlohela,@Nedbank Thank you.
2023-01-01 09:17:19+00:00,Nedbank,"@ROBRH01 Hi there, we're sorry about the inconvenience caused. We are currently aware of the matter and have our techies looking into this. We do apologise for the inconvenience caused. Our teams are working on resolving the matter. https://t.co/YmCt2JeH7f"
2023-01-01 09:16:49+00:00,_Trixiempi,@ROBRH01 @Nedbank I was panicking 🙏🏿
2023-01-01 09:16:39+00:00,ipsmok,"@Nedbank what's going on, money keeps going off my account and no one answers our calls🚮🚮"
2023-01-01 09:13:35+00:00,ZAFoodMusketeer,"@ShavingZA @Nedbank I know. They were supposed to change my account 2 months back when my cards were expiring. As per the manager from Nedbank he was going to call me back and resolve. Still waiting on that phone call. I emailed him to say what happened, he didn't even have the decency to reply."
2023-01-01 09:06:56+00:00,GuyDisabled,@mo_fancy @Nedbank @Nedbank  Please be aware of the panic this is causing
2023-01-01 09:04:28+00:00,RobinWiliams2,@Nedbank @aLfriendo Mine also disappeared
2023-01-01 09:02:47+00:00,RobinWiliams2,@aLfriendo @Nedbank Mine too. I was soo shocked and scared all my money is gone
2023-01-01 08:57:59+00:00,Nedbank,"@Thabiso82977337 Hi Thabiso, we sincerely apologise for the inconvenience caused. This is a general issue that is currently under investigation and our technicians are working to restore services as soon as possible. Once again please accept our sincere apologies for the outage. https://t.co/YmCt2JeH7f"
2023-01-01 08:56:05+00:00,STERNBOW4,"@Nedbank i have a question  due to my account  i did on my app ""just investment "" so i need help or clearity"
2023-01-01 08:56:03+00:00,Ripanzell,"Hawu, @Nedbank. I'm missing an account 😂. What's up, guys?"
2023-01-01 08:54:54+00:00,DuduzileMkhats1,@Nedbank hello what's going on with your app. Today we can't see our investments and polices. Please fix.
2023-01-01 08:52:38+00:00,tinay_tema,"@Gta44305117 @Nedbank I don't know hey, whatever it is needs to fixed asap"
2023-01-01 08:52:23+00:00,___BonoloS,"my heart nearly dropped 😡 @Nedbank, I hope y’all fix this mess 😞"
2023-01-01 08:49:22+00:00,___BonoloS,@Nedbank I hope you guys are really fixing this matter &amp; I hope I won’t lose my money 😔😡
2023-01-01 08:46:38+00:00,___BonoloS,"@ZAFoodMusketeer @Nedbank like, I almost lost my mind. My investment balance is on R0. I kept asking myself how is that even possible 😔😞."
2023-01-01 08:45:27+00:00,SelbyNhleko,@Mufasa0062 @Nedbank
2023-01-01 08:43:56+00:00,Nedbank,"@denxs_wessels Hi Denys, we're sorry about the inconvenience caused. We are currently aware of the matter and have our techies looking into this. We do apologise for the inconvenience caused. Our teams are working on resolving the matter. https://t.co/YmCt2JeH7f"
2023-01-01 08:41:04+00:00,Nedbank,@mo_fancy Hi Fancy. We sincerely apologise for the inconvenience caused. Our teams are aware of the issue and are investigating to resolve the matter as soon as possible. https://t.co/YmCt2JeH7f
2023-01-01 08:40:46+00:00,___BonoloS,@tiny1hippo @Nedbank true
2023-01-01 08:40:35+00:00,___BonoloS,@Nedbank Okay.
2023-01-01 08:40:18+00:00,elna50193290,@Nedbank what is happening to my investment account? 0 balance this morning 😡😡😡😡😡
2023-01-01 08:34:26+00:00,Nedbank,"@ToAmused We're saddened to hear this :( It is never our intention to disappoint you. Please send us a Private Message with your ID, contact number as well as your concerns so that we assist to address them securely via this platform. https://t.co/YmCt2JeH7f"
2023-01-01 08:05:03+00:00,Nedbank,"@kmmaano @aLfriendo Hi there, we're sorry about the inconvenience caused. We are currently aware of the matter and have our techies looking into this. We do apologise for the inconvenience caused. Our teams are working on resolving the matter. https://t.co/YmCt2JeH7f"
2023-01-01 08:03:00+00:00,shamase_nkwali,"@Nedbank @senzoG21 I’ve been trying to call them as well, but they not answering. I’m buying voice minutes for the 4th time now still no answer. My investments accounts just disappeared and I urgently need assistance. 💔😭"
2023-01-01 07:58:28+00:00,jimmyjinga,@aLfriendo @Nedbank Same here!?
2023-01-01 07:55:37+00:00,ShavingZA,@ZAFoodMusketeer @Nedbank The day we closed our Nedbank accounts was one of the happiest of my life. Honestly - the relief was incredible. It was like getting the best massage. Don't get too attached your bank. Set up a backup account (for this type of scenario).
2023-01-01 07:52:57+00:00,tinay_tema,@Nedbank @Nedbank what's going on with the money app? Why isn't my investment account showing anything?
2023-01-01 07:48:00+00:00,nolwee,@Nedbank wants to give me a heart attack 😫
2023-01-01 07:39:04+00:00,Belinda43367204,@Nedbank why have the investments disappeared off the banking profiles?
2023-01-01 07:24:41+00:00,Andilentuli5,@Nedbank My investment account is not showing on the app? Please explain to me what is happening
2023-01-01 07:24:20+00:00,tiny1hippo,@Nedbank @___BonoloS A public announcement would be a good idea if Nedbank cared about its customers.
2023-01-01 07:10:38+00:00,RanzidaTC,@ZAFoodMusketeer @Nedbank I hope we get what belongs to us
2023-01-01 07:08:48+00:00,ZAFoodMusketeer,"@RanzidaTC @Nedbank Nope I called the fraud hotline the agent said I was probably the 5th call he received regarding the same thing. We can get sms's to spend and earn greenbacks but can't get one to assure customers they working on a major glitch like this?
#annoyed #sotiredofnedbank"
2023-01-01 07:02:07+00:00,SithaguPhindulo,@ROBRH01 @Nedbank Same thing is happening to my app 😮‍💨
2023-01-01 06:56:25+00:00,ROBRH01,@Nedbank My investment account is not appearing in the phone app or the website this morning. The agent who answered the 24/7 number tried to tell me this is normal on Sundays and public holidays owing to maintenance. Time for a change!
2023-01-01 06:56:00+00:00,RanzidaTC,@ZAFoodMusketeer @Nedbank Thank you I thought I was alone
2023-01-01 06:44:16+00:00,Thabiso82977337,@mo_fancy @Nedbank I have the same problem @Nedbank come this side please
2023-01-01 06:38:25+00:00,ZAFoodMusketeer,"Happy new year @Nedbank 
It would be nice if you smsd/alerted your clients about a technical glitch instead of us going into a panic on the 1st Day of the month that our money is missing and having to call the fraud hotline?"
2023-01-01 06:31:08+00:00,mo_fancy,@Nedbank why can’t I see my investments on the MoneyApp??
2023-01-01 06:29:22+00:00,ToAmused,@Mufasa0062 @crimemind3 Has @Nedbank reached the distinction for a #VoetsekNedbank
2023-01-01 06:28:34+00:00,Nedbank,"@senzoG21 Hi Senzo, we are truly sorry to hear about your experience. Kindly DM us, your details to look into this for you."
2023-01-01 06:18:40+00:00,kmmaano,@aLfriendo @Nedbank Mine is showing a balance of 00 and the only option that is there is to open a new investment account
2023-01-01 06:16:49+00:00,Nedbank,"@___BonoloS Hi Nolo, we are truly sorry for any inconvenience caused to you. Our teams are aware of the issue and are currently working on a fix."
2023-01-01 05:56:17+00:00,Nedbank,"@LethukuthulaTs3 We would love to assist further. Kindly DM us, your details. 🙂"
2023-01-01 05:54:17+00:00,Nedbank,"@Pareidolia35 Hi there, Kindly send us a private message with more details."
2023-01-01 05:54:13+00:00,Nedbank,"@aLfriendo Hi there, please DM us your details to look into this for you."
2023-01-01 05:52:24+00:00,senzoG21,"I've been calling @MTNza regarding a debit order that keeps deducting R1000 a month on my account as well as @Nedbank to stop the debit with no assistance at all. It's been 4 months now. How does mtn debit on accounts who have no contracts with them, I'm so pissed. I need help."
2023-01-01 05:35:39+00:00,___BonoloS,@aLfriendo @Nedbank mine too 😒
2023-01-01 04:22:44+00:00,LethukuthulaTs3,@Nedbank Can yuk activate my creditcard.
2023-01-01 04:09:10+00:00,aLfriendo,Hi @Nedbank My JustInvest account has disappeared from view on MoneyApp. What's going on?
2023-01-01 03:17:44+00:00,Nedbank,"@Touchingdaworld Hi 💚, our Nedbank money app is 0 data rated. 
It's also dependent on the service provider and if you are roaming on a different network, in that event you would need to have data."
2023-01-01 00:24:01+00:00,Touchingdaworld,"@Nedbank Can you make the application active even without data pls.Thank you!

Goood!"
2022-12-31 23:04:31+00:00,khoza_ronald,"@Nedbank You have every information about that useless branch manager from Mabopane Central. She's on leave now, enjoying our money 🤑.

Nonsense"
2022-12-31 20:23:55+00:00,Nedbank,"@ZaneleDlaminiN Hi there, kindly click on the link for current vacancies on our careers Portal. https://t.co/psShgoOQKU Kindly note that all applications will need to be done via our careers portal. #BestOfLuck"
2022-12-31 20:22:26+00:00,ZaneleDlaminiN,"@Madam_PB @Nedbank ,I just finished my Advanced Diploma in Accounting and I was hoping for an internship in your company 🙏🏿"
2022-12-31 19:43:12+00:00,Nedbank,"@LuyandaS22 Hi Luyanda, 🙂

Kindly click on https://t.co/Jo7p0sC65U to find out more. You can also check out this link for more info on our bursaries : https://t.co/9J1xX75YKv💚"
2022-12-31 19:42:06+00:00,EllaNolz,"@Nedbank I always knew you hate me
Gift me please, I won't payback the loan"
2022-12-31 19:41:16+00:00,Nedbank,@magsdirwaii Thank you for keeping us updated. 🙂
2022-12-31 19:40:21+00:00,Nedbank,@Ella16568767 Would you be interested in applying for a personal loan? 🙂
2022-12-31 19:40:05+00:00,LuyandaS22,@Madam_PB @Nedbank in-service training 🥹
2022-12-31 19:37:38+00:00,magsdirwaii,@Nedbank I was struggling to log in all afternoon. But I eventually got on.
2022-12-31 19:35:52+00:00,EllaNolz,@Nedbank Send me money my favorite bank
2022-12-31 19:34:57+00:00,Nedbank,"@Ella16568767 Hi there, Miss Ella. Please provide us with finer details to assist further."
2022-12-31 19:32:14+00:00,EllaNolz,"@Nedbank can't believe I'm crossing over with you guys wee 😭
Your card here has no money https://t.co/q4xO1OIaM5"
2022-12-31 18:36:18+00:00,flowahh_,"I know online shopping is daunting for many, but @Nedbank has made things less stressful this festive season with their virtual cards - come see!

Get the money app, and have a ball 🤩 — https://t.co/2O0UwBGKW7 #TakeYourMoneySeriously https://t.co/eapi116smI"
2022-12-31 17:42:49+00:00,Suave_Amor,"@Nedbank @BikMaf1 @SasolSA or @GladAfricaGroup, or @Barloworldequip or @Liebherr"
2022-12-31 17:08:26+00:00,Nedbank,"@magsdirwaii Our app is currently online, what error are you getting when trying to log in?"
2022-12-31 16:21:02+00:00,musaradebe10,@Madam_PB @ChrisExcel102 @Nedbank I have applied for 23 jobs post with you and all were unsuccessful. I have experience in banking and still currently working as banker. I would like to join your good bank. Thanks in advance
2022-12-31 16:10:59+00:00,Nedbank,@_craig_ambers Kindly visit https://t.co/psShgoOQKU for available opportunities. Best of luck 💚
2022-12-31 16:06:07+00:00,Nedbank,@BolediThakane Hi there. Kindly have your sister contact us here or call us on 0800 555 111 so we can take a look and advise.
2022-12-31 16:00:44+00:00,_craig_ambers,@Madam_PB @NedbankZimbabwe @Nedbank
2022-12-31 16:00:34+00:00,Nedbank,@Uscha7 Thank you :) We have sent you a DM to advise 💚
2022-12-31 15:40:10+00:00,BolediThakane,"@Nedbank My sister's money is missing.On the phone it shows that the money is out but the slip of a certain trader show no record,pls help"
2022-12-31 15:36:18+00:00,Cazlin8,"@EugeneMt @Nedbank and @Discovery_SA is the best,I managed to convince half of my family to change from @FNBSA xclick..."
2022-12-31 15:30:59+00:00,Nedbank,@Tiisets52113500 Hi Tiisetso. We're just a message away when you're ready to switch 💚
2022-12-31 15:29:25+00:00,Nedbank,@Legacytv3 Pleasure 🙂 Have a great evening further.
2022-12-31 15:29:20+00:00,Nedbank,@GcogcoNOMBEBE Hi there. Thank you for reaching out to us. Kindly click on the following link for more information : https://t.co/VDThuinTO3
2022-12-31 15:16:19+00:00,Nedbank,@_StrangeOpinion HI there. We have responded to your DM and will assist further.
2022-12-31 15:15:48+00:00,Uscha7,@Nedbank Greenbacks Ref number 62140155
2022-12-31 15:11:05+00:00,Nedbank,@majestic_manda We have shared your feedback with our fraud teams and will revert as soon as possible.
2022-12-31 14:44:21+00:00,74LER,@sa_lottery @Nedbank Reminds me of Fresh Pack Rooibos https://t.co/f5je0xKFEn
2022-12-31 13:58:18+00:00,Nedbank,"@ipsmok We appreciate your feedback, Ngwana."
2022-12-31 13:35:57+00:00,Nedbank,"@Uscha7 Hi there, Ursula. We are truly sorry to hear about your experience thus far. Let's look into this for you, kindly DM us, your details and we will gladly follow up with our greenbacks team and revert back to you. 💚"
2022-12-31 13:29:26+00:00,RampsTMan,@ipsmok @Nedbank Thanks ❤️❤️❤️
2022-12-31 13:21:14+00:00,Nedbank,"@khoza_ronald Hi there, Hosi. Your feedback is truly concerning. Kindly DM us, finer details to address your concerns."
2022-12-31 13:19:55+00:00,Nedbank,@DiGaverG 💚 https://t.co/YmCt2JeH7f
2022-12-31 13:18:17+00:00,Nedbank,@gracemichell31 We have responded to your DM. 💚
2022-12-31 13:17:57+00:00,Nedbank,"@gracemichell31 Hi there, we have responded to your DM."
2022-12-31 13:16:52+00:00,Nedbank,"@LethukuthulaTs3 Hi there, Lethukuthula. 

How are you, and how may we assist? 🙂"
2022-12-31 13:14:18+00:00,Legacytv3,@Nedbank Thanks my Angel I got the money back❤️❤️🎁🎁🎁🎁
2022-12-31 12:57:25+00:00,Nedbank,"@Comfort61218039 HI Comfort, we're sorry about the wait. Did you know that you can easily chat with a consultant via our Money App, Online Banking or via Private Message on this platform? No more waiting on the line with easier ways to connect :) https://t.co/YmCt2JeH7f"
2022-12-31 12:32:52+00:00,Nedbank,"@PriscaReverso Our doors are opened, if you would like to come over and get a new account :) https://t.co/YmCt2JeH7f"
2022-12-31 12:24:10+00:00,raw_hun,@Jamani_Khanyi @Absa @Nedbank @FNBSA @StandardBankArt please say Amen.
2022-12-31 12:19:10+00:00,Nedbank,"@SakkieMaphiri Hi SakkieM, 🙂

Kindly click on https://t.co/Jo7p0sC65U to find out more. You can also check out this link for more info on our bursaries : https://t.co/9J1xX75YKv

Best of luck. 💚🙌"
2022-12-31 12:14:25+00:00,Nedbank,"@GNickrash Hi Griselda, we are extremely sorry to hear about your experience. Have you still not received the account confirmation letter? If not, please DM us, your details and we will gladly look into this for you."
2022-12-31 12:03:54+00:00,Nedbank,"@eddiemadikizela Please accept our apologies for the delay in response 💚

We are following you now so you can send us DM with your details so that we can have this addressed with you."
2022-12-31 11:42:54+00:00,JoeMakgamatha,Good afternoon @Nedbank @NedbankNam
2022-12-31 11:34:38+00:00,Nedbank,@Lereng_ 💚
2022-12-31 11:26:16+00:00,majestic_manda,@Nedbank Plzzz stop asking for private messages and attend to the issue if raised with you
2022-12-31 11:09:19+00:00,Legacytv3,@Nedbank The steps are sent as a link? Plz send the whole step
2022-12-31 10:57:11+00:00,ipsmok,@RampsTMan @Nedbank
2022-12-31 10:54:45+00:00,Nedbank,"@I_Am_Bonisile Hi there, thank you for sharing your concerns. We're awaiting a response from the author of the tweet so that we may assist further :) We have requested their details via Private Message :) https://t.co/YmCt2JeH7f"
2022-12-31 10:52:58+00:00,Nedbank,"@eugnadasen Hi Eugene, we're saddened to hear about this. A Debi check mandate is for an amount range and not just a single amount. Please send us a Private Message with your details so that we may securely private you with the mandate information. https://t.co/YmCt2JeH7f"
2022-12-31 10:47:40+00:00,Nedbank,@SanelisiwePaka1 Hi Sanelisiwe. We're saddened to hear this :( Please send us a private message with your details so that we may investigate and assist securely via this platform. https://t.co/YmCt2JeH7f
2022-12-31 10:34:59+00:00,Uscha7,Hey @Nedbank you keep debiting my account without crediting me #Greenbacks. Nobody able to sort this out. Have also reported on @hellopetercom but zero response from #Nedbank Anybody there????
2022-12-31 10:22:53+00:00,khoza_ronald,@FNBSA bye bye white only bank. @CapitecBankSA and @Nedbank you are the only banks that care about black people
2022-12-31 10:20:34+00:00,khoza_ronald,@FNBSA I'm about to run away too. @Nedbank we are coming in numbers. But the attitude of Lebogang Mathe the branch manager from Mabopane Central is problematic.
2022-12-31 10:16:37+00:00,LethukuthulaTs3,@Nedbank Unlock me.@Nedbank
2022-12-31 10:15:44+00:00,Nedbank,"@Legacytv3 If not, kindly DM your ID and contact number as we cannot locate it via your Twitter profile name on our Banking systems so we can assist you further 🙂"
2022-12-31 10:14:38+00:00,Nedbank,"@Legacytv3 Please accept our apologies for the delay in response 💚

If you have used Send money via the Money app, you can cancel the transaction by doing the following 🙂

• Login to the Money App
• Select Transact
• Select Pay
• Select Send money.
• Selec... https://t.co/BtmQfZ2VLb"
2022-12-31 10:06:01+00:00,Comfort61218039,@Nedbank i have more than 20 minutes waiting for one of your consultants to answer thenphone . Why is the phone not being answered !!!!!
2022-12-31 10:00:33+00:00,PriscaReverso,@NASDAQ100_king @EugeneMt @Rb__sa I'm in my 20s and I have been using @Rb_sa for my salaries I even have three different cards so if this is how it is at FNB  while I'll need a loan etc in the near future for houses etc then I'm also leaving FNB I'm moving to @Nedbank  or any other bank 🚩🙌
2022-12-31 09:57:29+00:00,Nedbank,"@Hopeliciouzz Please accept our apologies for the delay in response 💚

Kindly note that debit order reversals performed on the Money app can take up to 2 - 3 business days to reflect. Please monitor your account for it to reflect soon 🙂"
2022-12-31 09:46:01+00:00,SakkieMaphiri,@Madam_PB I would like to work for Nedbank as Senior Administrator @Nedbank I've been applying with no luck 😕
2022-12-31 09:38:19+00:00,RampsTMan,@Lereng_ @Nedbank @StandardBankZA STD BANK
2022-12-31 09:37:26+00:00,GNickrash,@Nedbank Your online banking stinks. I've asked for a proof of account letter and I'm still waiting after 30 minutes. There's nothing wrong with my money. Why is there something wrong with your service??
2022-12-31 09:36:40+00:00,Nedbank,@majestic_manda Hi Amanda. We're sorry for the experience. Please send us a private message with more details so that we can follow up for you.
